Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
ACAD-1116,Acadia National Park,Bird,Charadriiformes,Charadriidae,Charadrius melodus,"Eastern Piping Plover, Piping Plover",Approved,Not Confirmed,Native,Unknown,Migratory,Threatened
ACAD-1117,Acadia National Park,Bird,Charadriiformes,Charadriidae,Charadrius semipalmatus,"Ringed Plover, Semipalmated Plover, Semipalmated Ringed Plover",Approved,Not Confirmed,Native,Unknown,Migratory,Not Listed
ACAD-1118,Acadia National Park,Bird,Charadriiformes,Charadriidae,Charadrius vociferus,"Killdeer, Northern Killdeer",Approved,Present,Native,Common,Unknown,Not Listed
ACAD-1119,Acadia National Park,Bird,Charadriiformes,Charadriidae,Pluvialis dominica,"American Golden Plover, American Golden-Plover, Eastern American Golden Plover",Approved,Not Confirmed,Native,Unknown,Migratory,Not Listed
ACAD-1120,Acadia National Park,Bird,Charadriiformes,Charadriidae,Pluvialis squatarola,Black-Bellied Plover,Approved,Present,Native,Common,Migratory,Not Listed
ACAD-1121,Acadia National Park,Bird,Charadriiformes,Haematopodidae,Haematopus palliatus,"American Oystercatcher, Eastern American Oystercatcher",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern
ACAD-1122,Acadia National Park,Bird,Charadriiformes,Laridae,Chlidonias niger,"American Black Tern, Black Tern",Approved,Not Confirmed,Native,Unknown,Migratory,Species of Concern
ACAD-1123,Acadia National Park,Bird,Charadriiformes,Laridae,Larus argentatus,"American Herring Gull, Herring Gull",Approved,Present,Native,Abundant,Resident,Not Listed
ACAD-1124,Acadia National Park,Bird,Charadriiformes,Laridae,Larus atricilla,Laughing Gull,Approved,Present,Native,Common,Resident,Species of Concern
ACAD-1125,Acadia National Park,Bird,Charadriiformes,Laridae,Larus delawarensis,Ring-Billed Gull,Approved,Present,Native,Common,Resident,Not Listed
ACAD-1126,Acadia National Park,Bird,Charadriiformes,Laridae,Larus fuscus,Lesser Black-Backed Gull,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Not Listed
ACAD-1127,Acadia National Park,Bird,Charadriiformes,Laridae,Larus glaucoides,"Eastern Iceland Gull, Iceland Gull",Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
ACAD-1128,Acadia National Park,Bird,Charadriiformes,Laridae,Larus hyperboreus,"Eastern Glaucous Gull, Glaucous Gull",Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
ACAD-1129,Acadia National Park,Bird,Charadriiformes,Laridae,Larus marinus,Great Black-Backed Gull,Approved,Present,Native,Abundant,Resident,Not Listed
ACAD-1130,Acadia National Park,Bird,Charadriiformes,Laridae,Larus minutus,Little Gull,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Not Listed
ACAD-1131,Acadia National Park,Bird,Charadriiformes,Laridae,Larus philadelphia,Bonaparte's Gull,Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
ACAD-1132,Acadia National Park,Bird,Charadriiformes,Laridae,Larus pipixcan,Franklin's Gull,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Not Listed
ACAD-1133,Acadia National Park,Bird,Charadriiformes,Laridae,Larus ridibundus,"Black-Headed Gull, Western Black-Headed Gull",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Not Listed
ACAD-1134,Acadia National Park,Bird,Charadriiformes,Laridae,Pagophila eburnea,Ivory Gull,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Not Listed
